student_hash,id,submitted_on,grade,compiles,regex,regex_runime
ee2652075ad33343c79c5a6a1161371b,651bd177f370512ff50f7400,2023-10-03 10:31:51.289,100.0,True,False,0.018154144287109375
ee2652075ad33343c79c5a6a1161371b,651bd15d1717518346c1a370,2023-10-03 10:31:25.507,0.0,True,False,0.009057044982910156
ee2652075ad33343c79c5a6a1161371b,651bd14653046160bca590a1,2023-10-03 10:31:02.189,0.0,False,False,0.02215266227722168
14c757ea43afab80f73855d7255a7876,66c65af51abc3550cffdaa11,2024-08-21 23:24:05.320,100.0,False,False,0.015279531478881836
14c757ea43afab80f73855d7255a7876,66c305b81abc3550cffd8181,2024-08-19 10:43:36.539,100.0,False,False,0.014995336532592773
14c757ea43afab80f73855d7255a7876,66c3058dec01ef72aa7ffb32,2024-08-19 10:42:53.284,100.0,False,False,0.004998683929443359
14c757ea43afab80f73855d7255a7876,66c30576163decb65c991fe1,2024-08-19 10:42:30.256,100.0,False,False,0.013040304183959961
14c757ea43afab80f73855d7255a7876,66c304c4fda3507fd686e87f,2024-08-19 10:39:32.011,100.0,False,False,0.0
b2c7c3df894a703c67ea7ff103de7692,66c5f4ffdad4f4d810cccae7,2024-08-21 16:09:03.785,100.0,False,True,0.021863937377929688
b2c7c3df894a703c67ea7ff103de7692,66990c585a361291a3a929de,2024-07-18 14:36:40.070,100.0,False,False,0.012587308883666992
b2c7c3df894a703c67ea7ff103de7692,65a657e8c6b05849cef4c49b,2024-01-16 11:18:16.487,100.0,True,False,0.022895336151123047
b2c7c3df894a703c67ea7ff103de7692,65182eeeb0e7739e6493d1bf,2023-09-30 16:21:34.480,100.0,True,False,0.01493692398071289
b2c7c3df894a703c67ea7ff103de7692,65182ec0b0e7739e6493d1b5,2023-09-30 16:20:48.491,0.0,True,False,0.010031461715698242
e6a25ad746bb0923f593e94f5128d13d,66c5ea75dad4f4d810ccc9f9,2024-08-21 15:24:05.820,100.0,False,True,0.01630258560180664
e6a25ad746bb0923f593e94f5128d13d,65a839138ba6947cb337361b,2024-01-17 21:31:15.355,100.0,True,False,0.016643524169921875
e6a25ad746bb0923f593e94f5128d13d,651bd183f370512ff50f7405,2023-10-03 10:32:03.402,100.0,True,False,0.0
61ae311b5d320909816193cec86fd2e1,66c5dc1cec01ef72aa801e6c,2024-08-21 14:22:52.600,100.0,True,False,0.0227813720703125
61ae311b5d320909816193cec86fd2e1,66c5dbd41abc3550cffda1fd,2024-08-21 14:21:40.936,0.0,True,False,0.011902809143066406
61ae311b5d320909816193cec86fd2e1,66c5db9b1abc3550cffda1ee,2024-08-21 14:20:43.755,0.0,True,False,0.13921499252319336
61ae311b5d320909816193cec86fd2e1,66019116cdb81872ab481267,2024-03-25 15:58:30.864,100.0,True,False,0.020243406295776367
61ae311b5d320909816193cec86fd2e1,66018dbfd42cd9e34614399b,2024-03-25 15:44:15.716,0.0,True,False,0.010162830352783203
e9991293234ce4cc0d9643f88eb299e3,66c2ed58ac2f50fd0ed4a7a0,2024-08-19 08:59:36.516,100.0,False,False,0.012077093124389648
e9991293234ce4cc0d9643f88eb299e3,66c2ed51ac2f50fd0ed4a79b,2024-08-19 08:59:29.571,0.0,False,False,0.02000904083251953
e9991293234ce4cc0d9643f88eb299e3,66b70fa926943bbfc41c9b0d,2024-08-10 08:58:49.423,100.0,False,False,0.018683195114135742
e9991293234ce4cc0d9643f88eb299e3,66b70ee8ec01ef72aa7fbe59,2024-08-10 08:55:36.409,0.0,False,False,0.01206517219543457
e9991293234ce4cc0d9643f88eb299e3,66b70edeec01ef72aa7fbe4f,2024-08-10 08:55:26.645,0.0,False,False,0.023161888122558594
