student_hash,id,submitted_on,grade,compiles,flake8,flake8_runtime
d12b69072c9cb0eac9869bb9adcb6096,63564a3e6a7392b4e586d68c,2022-10-24 10:18:06.870,0.0,True,False,0.6085877418518066
c3a219743a09ca92b2043ff4d24ff014,63564a083146b16e2176b2bd,2022-10-24 10:17:12.629,100.0,True,False,0.6033804416656494
7a5268f00765be1bcebec45af35d3cac,6356478be46f28bb708a923d,2022-10-24 10:06:35.491,100.0,True,False,0.6442651748657227
7a5268f00765be1bcebec45af35d3cac,6356477de46f28bb708a9235,2022-10-24 10:06:21.211,0.0,False,False,0.0
7a5268f00765be1bcebec45af35d3cac,635647736a7392b4e586d676,2022-10-24 10:06:11.777,0.0,False,False,0.0
74bac19fe250ad5c8292a9ce8273283f,6356457ae46f28bb708a920a,2022-10-24 09:57:46.893,100.0,True,False,0.8633360862731934
74bac19fe250ad5c8292a9ce8273283f,63564560e46f28bb708a9203,2022-10-24 09:57:20.567,100.0,True,False,0.6554474830627441
74bac19fe250ad5c8292a9ce8273283f,63564521d0579510aa3c8fca,2022-10-24 09:56:17.830,0.0,True,False,0.6046319007873535
74bac19fe250ad5c8292a9ce8273283f,63564501e46f28bb708a91f5,2022-10-24 09:55:45.967,0.0,False,False,0.0
74bac19fe250ad5c8292a9ce8273283f,635644a3e46f28bb708a91e6,2022-10-24 09:54:11.498,0.0,True,False,0.6042184829711914
2c6e5b7c17171b78fbc3b02a668945bd,6356453ea41ed8321146da36,2022-10-24 09:56:46.153,100.0,True,False,0.6141340732574463
ce31a74522aa1c45751a8e7885e0eb29,63563c7486fd1834882efddb,2022-10-24 09:19:16.073,100.0,True,False,0.6208691596984863
ce31a74522aa1c45751a8e7885e0eb29,63563c48e46f28bb708a913e,2022-10-24 09:18:32.038,0.0,True,False,0.64910888671875
ce31a74522aa1c45751a8e7885e0eb29,63563c3ae46f28bb708a9131,2022-10-24 09:18:18.169,0.0,True,False,0.6401345729827881
ce31a74522aa1c45751a8e7885e0eb29,63563c2fa41ed8321146d9ca,2022-10-24 09:18:07.599,0.0,False,False,0.0
6ec2281bfea317308bcef52065faa1fd,63563829a41ed8321146d94a,2022-10-24 09:00:57.226,100.0,True,False,0.6525752544403076
6ec2281bfea317308bcef52065faa1fd,6356381b80607efdfdb92036,2022-10-24 09:00:43.545,0.0,True,False,0.6176838874816895
6ec2281bfea317308bcef52065faa1fd,63563815e46f28bb708a9093,2022-10-24 09:00:36.999,0.0,False,False,0.0
c8aeffdda41bc214a5154f616742a507,6355eb03a41ed8321146d87d,2022-10-24 03:31:47.118,100.0,True,False,0.5980587005615234
e9819d3bd01d93a3e38420e690aab47a,6355c79ae46f28bb708a8ec3,2022-10-24 01:00:42.562,100.0,True,False,0.6969187259674072
e9819d3bd01d93a3e38420e690aab47a,6355c77186fd1834882efd26,2022-10-24 01:00:01.835,0.0,True,False,0.6547036170959473
e9819d3bd01d93a3e38420e690aab47a,616d90aaafb6417fa7fdceaf,2021-10-18 17:20:10.681,100.0,True,False,0.6060030460357666
dc29d2ed9b890a1db4a20e573685d014,6355b0c16a7392b4e586d4f7,2022-10-23 23:23:13.557,100.0,True,False,0.623140811920166
86dff9ec706cb85735c06851ce3600a7,6355a2a4a41ed8321146d6bc,2022-10-23 22:23:00.063,100.0,True,False,0.6062009334564209
86dff9ec706cb85735c06851ce3600a7,6355a275e46f28bb708a8c80,2022-10-23 22:22:13.878,0.0,True,False,0.594409704208374
86dff9ec706cb85735c06851ce3600a7,6355a266e46f28bb708a8c7b,2022-10-23 22:21:58.080,0.0,True,False,0.6143157482147217
03d6f65d6ec048db74fccbb1e2523d29,63559fdc80607efdfdb91db8,2022-10-23 22:11:08.628,100.0,True,False,0.5697579383850098
9d45ee0130cf16ea06f370e1d97d8644,635588286a7392b4e586d3e9,2022-10-23 20:30:00.412,100.0,True,False,0.6187999248504639
9d45ee0130cf16ea06f370e1d97d8644,63558801e46f28bb708a8aa8,2022-10-23 20:29:21.002,0.0,False,False,0.0
9d45ee0130cf16ea06f370e1d97d8644,635587a9e46f28bb708a8aa3,2022-10-23 20:27:53.500,0.0,False,False,0.0
9d45ee0130cf16ea06f370e1d97d8644,6355876e86fd1834882efc40,2022-10-23 20:26:54.779,0.0,False,False,0.0
9d45ee0130cf16ea06f370e1d97d8644,63558763a41ed8321146d595,2022-10-23 20:26:43.074,0.0,False,False,0.0
ff03675decbb85ca01b5d81201ec383a,6355722ee46f28bb708a890c,2022-10-23 18:56:14.562,100.0,True,False,0.6066601276397705
c71cac9a96510d4b43609ee9ef6fd046,635560b186fd1834882efb58,2022-10-23 17:41:37.581,100.0,True,False,0.6199991703033447
65b68e920ae0e6ef919e67d799e3e03c,63555fcde46f28bb708a8731,2022-10-23 17:37:49.530,0.0,True,False,0.6246564388275146
ae40155f28168433d04d320fe7b105d5,63555fada41ed8321146d352,2022-10-23 17:37:17.543,100.0,True,False,0.5998332500457764
ae40155f28168433d04d320fe7b105d5,63555fa46d35725866761ac7,2022-10-23 17:37:08.477,0.0,False,False,0.0
